,TrueNeg,FalseNeg,FalsePos,TruePos,Cutoff,sensitivity,specificity,FalsePosRate,PctCorrect,distance,,,
397,859,326,5,123,0.929669598,0.273942094,0.994212963,0.005787037,0.74790556,0.726080969,,,
569,859,329,5,120,0.935049825,0.267260579,0.994212963,0.005787037,0.745620716,0.732762273,,,
261,859,330,5,119,0.937346935,0.265033408,0.994212963,0.005787037,0.744859101,0.734989375,,,
341,859,339,5,110,0.940045012,0.244988864,0.994212963,0.005787037,0.73800457,0.755033314,,,
434,859,340,5,109,0.944678758,0.242761693,0.994212963,0.005787037,0.737242955,0.75726042,,,
74,859,342,5,107,0.952679569,0.23830735,0.994212963,0.005787037,0.735719726,0.761714634,,,
266,859,343,5,106,0.958737675,0.236080178,0.994212963,0.005787037,0.734958111,0.763941741,,,
136,859,352,5,97,0.958939612,0.216035635,0.994212963,0.005787037,0.72810358,0.783985724,,,
278,859,358,5,91,0.964402456,0.202672606,0.994212963,0.005787037,0.723533892,0.797348395,,,
183,859,362,5,87,0.968941626,0.19376392,0.994212963,0.005787037,0.720487433,0.806256849,,,
68,859,364,5,85,0.969008585,0.189309577,0.994212963,0.005787037,0.718964204,0.810711078,,,
279,859,365,5,84,0.969161873,0.187082405,0.994212963,0.005787037,0.718202589,0.812938193,,,
274,859,374,5,75,0.973169292,0.167037862,0.994212963,0.005787037,0.711348058,0.832982241,,,
240,859,382,5,67,0.973302568,0.14922049,0.994212963,0.005787037,0.705255141,0.850799192,,,
281,860,391,4,58,0.976784793,0.129175947,0.99537037,0.00462963,0.699162224,0.87083636,,,
283,861,401,3,48,0.976900536,0.106904232,0.996527778,0.003472222,0.692307692,0.893102518,,,
289,861,406,3,43,0.979923147,0.095768374,0.996527778,0.003472222,0.688499619,0.904238292,,,
254,863,412,1,37,0.980720912,0.082405345,0.998842593,0.001157407,0.685453161,0.917595385,,,
2,862,412,2,37,0.980023563,0.082405345,0.997685185,0.002314815,0.684691546,0.917597575,,,
195,864,413,0,36,0.98264478,0.080178174,1,0,0.685453161,0.919821826,,,
299,864,421,0,28,0.98325219,0.062360802,1,0,0.679360244,0.937639198,,,
143,864,423,0,26,0.983336239,0.057906459,1,0,0.677837014,0.942093541,,,
1313,49,0,815,449,0.08921436,1,0.056712963,0.943287037,0.379284082,0.943287037,,,
602,47,0,817,449,0.064525092,1,0.054398148,0.945601852,0.377760853,0.945601852,,,
252,864,425,0,24,0.983402488,0.053452116,1,0,0.676313785,0.946547884,,,
313,45,0,819,449,0.062971061,1,0.052083333,0.947916667,0.376237624,0.947916667,,,
203,864,426,0,23,0.985003113,0.051224944,1,0,0.675552171,0.948775056,,,
577,41,0,823,449,0.059560515,1,0.047453704,0.952546296,0.373191165,0.952546296,,,
655,40,0,824,449,0.056966286,1,0.046296296,0.953703704,0.372429551,0.953703704,,,
530,39,0,825,449,0.054955474,1,0.045138889,0.954861111,0.371667936,0.954861111,,,
663,38,0,826,449,0.054621179,1,0.043981481,0.956018519,0.370906321,0.956018519,,,
209,864,430,0,19,0.985601989,0.042316258,1,0,0.672505712,0.957683742,,,
250,864,431,0,18,0.985659361,0.040089087,1,0,0.671744097,0.959910913,,,
