"","TrueNeg","FalseNeg","FalsePos","TruePos","Cutoff","sensitivity","specificity","FalsePosRate","PctCorrect"
"565",613,84,251,365,0.240550206717172,0.812917594654788,0.709490740740741,0.290509259259259,0.744859101294745
"277",605,83,259,366,0.236748802391613,0.815144766146993,0.700231481481482,0.299768518518518,0.73952779893374
"268",599,79,265,370,0.235825483720282,0.824053452115813,0.693287037037037,0.306712962962963,0.738004569687738
"652",598,79,266,370,0.235434125001388,0.824053452115813,0.69212962962963,0.30787037037037,0.737242955064737
"582",557,75,307,374,0.225304071832295,0.832962138084632,0.644675925925926,0.355324074074074,0.709063214013709
"678",556,75,308,374,0.220965827893005,0.832962138084632,0.643518518518518,0.356481481481482,0.708301599390708
"721",554,75,310,374,0.217157667626753,0.832962138084632,0.641203703703704,0.358796296296296,0.706778370144707
"720",552,75,312,374,0.213397159963662,0.832962138084632,0.638888888888889,0.361111111111111,0.705255140898705
"536",547,72,317,377,0.213002917909942,0.839643652561247,0.633101851851852,0.366898148148148,0.703731911652704
"269",540,72,324,377,0.210978836109042,0.839643652561247,0.625,0.375,0.698400609291698
"594",524,70,340,379,0.210756080443787,0.844097995545657,0.606481481481482,0.393518518518518,0.687738004569688
"505",515,69,349,380,0.196908694806741,0.846325167037862,0.596064814814815,0.403935185185185,0.681645087585682
"793",508,68,356,381,0.191834596562848,0.848552338530067,0.587962962962963,0.412037037037037,0.677075399847677
"307",507,68,357,381,0.186776049663779,0.848552338530067,0.586805555555556,0.413194444444444,0.676313785224676
"557",500,68,364,381,0.183759296170983,0.848552338530067,0.578703703703704,0.421296296296296,0.670982482863671
"510",499,68,365,381,0.170260694793127,0.848552338530067,0.577546296296296,0.422453703703704,0.67022086824067
"288",477,57,387,392,0.165766813409216,0.873051224944321,0.552083333333333,0.447916666666667,0.661843107387662
"702",476,57,388,392,0.16141888647274,0.873051224944321,0.550925925925926,0.449074074074074,0.661081492764661
"506",475,57,389,392,0.159521702678265,0.873051224944321,0.549768518518518,0.450231481481482,0.66031987814166
"831",469,52,395,397,0.1544295326005,0.884187082405345,0.542824074074074,0.457175925925926,0.65955826351866
"839",446,49,418,400,0.151545003211508,0.89086859688196,0.516203703703704,0.483796296296296,0.644325971058644
"695",445,49,419,400,0.150603140052155,0.89086859688196,0.515046296296296,0.484953703703704,0.643564356435644
"838",413,45,451,404,0.148704877485036,0.89977728285078,0.478009259259259,0.521990740740741,0.622239146991622
"596",390,44,474,405,0.148407602627096,0.902004454342984,0.451388888888889,0.548611111111111,0.605483625285606
"814",387,42,477,407,0.147777591490222,0.906458797327394,0.447916666666667,0.552083333333333,0.604722010662605
"470",386,42,478,407,0.14748184921518,0.906458797327394,0.446759259259259,0.553240740740741,0.603960396039604
"837",368,40,496,409,0.145908825464531,0.910913140311804,0.425925925925926,0.574074074074074,0.591774562071592
"318",366,40,498,409,0.145156192726214,0.910913140311804,0.423611111111111,0.576388888888889,0.59025133282559
"777",362,40,502,409,0.144996005262926,0.910913140311804,0.418981481481481,0.581018518518519,0.587204874333587
"823",357,39,507,410,0.143156505854323,0.913140311804009,0.413194444444444,0.586805555555556,0.584158415841584
"740",356,39,508,410,0.14044756662026,0.913140311804009,0.412037037037037,0.587962962962963,0.583396801218583
"806",351,37,513,412,0.13257736209893,0.917594654788419,0.40625,0.59375,0.581111957349581
"812",347,37,517,412,0.131735080785736,0.917594654788419,0.40162037037037,0.59837962962963,0.578065498857578
"601",346,37,518,412,0.129619982382813,0.917594654788419,0.400462962962963,0.599537037037037,0.577303884234577
"317",344,37,520,412,0.123705341350802,0.917594654788419,0.398148148148148,0.601851851851852,0.575780654988576
"166",343,37,521,412,0.112961988276781,0.917594654788419,0.396990740740741,0.603009259259259,0.575019040365575
"593",342,37,522,412,0.10046658606411,0.917594654788419,0.395833333333333,0.604166666666667,0.574257425742574
"303",340,37,524,412,0.0985593601941488,0.917594654788419,0.393518518518519,0.606481481481481,0.572734196496573
"1313",49,0,815,449,0.0892143604552463,1,0.056712962962963,0.943287037037037,0.379284082254379
"602",47,0,817,449,0.0645250917146524,1,0.0543981481481481,0.945601851851852,0.377760853008378
"313",45,0,819,449,0.0629710606325799,1,0.0520833333333333,0.947916666666667,0.376237623762376
"577",41,0,823,449,0.0595605148909309,1,0.0474537037037037,0.952546296296296,0.373191165270373
"655",40,0,824,449,0.0569662860997842,1,0.0462962962962963,0.953703703703704,0.372429550647372
"530",39,0,825,449,0.0549554742830552,1,0.0451388888888889,0.954861111111111,0.371667936024372
"663",38,0,826,449,0.054621179436793,1,0.0439814814814815,0.956018518518518,0.370906321401371
"774",34,0,830,449,0.0491505367580056,1,0.0393518518518519,0.960648148148148,0.367859862909368
"306",33,0,831,449,0.0414765559526462,1,0.0381944444444444,0.961805555555556,0.367098248286367
"701",32,0,832,449,0.0374395519763821,1,0.037037037037037,0.962962962962963,0.366336633663366
